Counts01,TransmitterTemp06,SensorTemp08,SNR09,TransmitterTemp09,TransmitterTemp11,temperature12,voltage15
0.83506644,0.2198933,0.4062789,0.8424212,0.18761413,0.35867107,0.7120269,0.42487004
0.42357188,0.20775966,0.36879075,0.8979082,0.1882088,0.3103362,0.72772247,0.41873902
0.5410466,0.20579682,0.44228652,0.876144,0.20845972,0.24184382,0.72288376,0.43331242
0.1918872,0.3373666,0.44331875,0.90077555,0.22399577,0.19664602,0.7241716,0.43298638
0.50929844,0.3205359,0.3787877,0.9198026,0.21296124,0.23678778,0.7180696,0.4205953
0.69574773,0.32881457,0.4009969,0.87495327,0.2289417,0.22144133,0.7136294,0.426289
0.13199542,0.46033347,0.40370384,0.88723475,0.24444045,0.20317858,0.71298075,0.42089036
0.56856096,0.36667997,0.44894066,0.9007074,0.23389606,0.2690947,0.71167195,0.41771555
0.57067204,0.34980687,0.45159647,0.90597814,0.23140384,0.26964173,0.711573,0.4208192
0.2291528,0.43768194,0.46914595,0.89035827,0.24299958,0.24675445,0.7078014,0.42148188
0.31621778,0.41065344,0.45933452,0.8970526,0.23600134,0.27233547,0.7026946,0.41981772
0.53519714,0.35909683,0.4393112,0.8818472,0.23585454,0.28192714,0.70401525,0.4209194
0.5649243,0.36874095,0.42228183,0.8712915,0.24416107,0.26196325,0.7041107,0.4235277
0.6835135,0.37073073,0.40417802,0.87371707,0.2461089,0.2545136,0.70388144,0.42477664
0.8171157,0.36492115,0.39287657,0.8838767,0.24541688,0.2501281,0.70471084,0.42403036
0.7509821,0.3842155,0.38259256,0.8877339,0.24845164,0.23942484,0.7061272,0.42433828
0.7741602,0.38793316,0.37568146,0.891762,0.2478678,0.2415088,0.7061048,0.42569542
0.7698879,0.38520518,0.36999333,0.89435893,0.2485044,0.23966585,0.7057259,0.4264185
0.8273787,0.3762574,0.3654454,0.8980091,0.2465503,0.24357079,0.70504206,0.42456508
0.7840959,0.37453896,0.35584888,0.9009045,0.24796538,0.23800905,0.70413435,0.42360428
0.84214294,0.3655658,0.3516862,0.90113485,0.24694623,0.24050139,0.7023078,0.42200172
0.78361446,0.36610714,0.347015,0.9003631,0.24870098,0.23488536,0.7006618,0.4206685
0.86323404,0.35633403,0.3464935,0.898077,0.24709392,0.23994419,0.6978126,0.4186466
0.79660666,0.35485393,0.3382995,0.90662867,0.24905956,0.23176844,0.6964631,0.41724178
0.75926477,0.27494067,0.43048128,0.8325577,0.28185585,0.26021525,0.48394886,0.47542766
0.89518076,0.36487427,0.41800556,0.91452926,0.25497448,0.22032674,0.4953532,0.43551406
0.6865759,0.28732783,0.46614903,0.89695954,0.26254967,0.2385379,0.49887908,0.45325333
0.47838858,0.4045993,0.49228406,0.83471006,0.2897882,0.19043513,0.499345,0.46536374
0.37967715,0.41900203,0.50986814,0.8823499,0.29526857,0.2180498,0.5007343,0.46199107
0.9810809,0.3262665,0.5131665,0.967187,0.2922939,0.24488881,0.5047535,0.4316683
0.17872366,0.5680398,0.4661736,0.87261623,0.38940895,0.20065275,0.5017338,0.41009298
0.9543468,0.4500746,0.4581379,0.9563621,0.37239495,0.3227018,0.4981665,0.42652732
0.65819365,0.37262854,0.42389524,0.9508015,0.36421618,0.32589725,0.481085,0.43867368
0.69562685,0.40635437,0.4107371,0.89965814,0.36050525,0.2690023,0.4714029,0.44158477
0.51216763,0.42211688,0.43134648,0.90575355,0.35287863,0.23849463,0.46505457,0.4434389
0.50209254,0.38085747,0.4257305,0.91514933,0.331158,0.24938782,0.46515015,0.444413
0.43735498,0.34204364,0.414123,0.9183119,0.31122366,0.25612342,0.46532875,0.44330576
0.3281055,0.3178904,0.40202013,0.9171978,0.29777288,0.25155482,0.46381414,0.44259888
0.3210273,0.29449826,0.39552355,0.9196852,0.2913212,0.23894447,0.46422082,0.44214448
0.3756204,0.27104756,0.38538152,0.9201463,0.288881,0.22490357,0.46609464,0.4414339
0.40208885,0.26064625,0.37455362,0.91869617,0.2867418,0.21000415,0.46757233,0.44066533
0.46438396,0.2509617,0.36929157,0.91161346,0.28168288,0.20309906,0.46828237,0.43979535
0.46297416,0.25581717,0.36731097,0.90897864,0.27644855,0.19350855,0.46873072,0.4398643
0.5002874,0.25631267,0.36937457,0.9058599,0.26944032,0.19101377,0.46944025,0.43977752
0.48101175,0.2601666,0.37574854,0.9042441,0.2635602,0.19005416,0.4706178,0.43974492
0.47277254,0.25865242,0.38621128,0.89719087,0.2579866,0.19516113,0.4713992,0.43952945
0.43732893,0.26540786,0.3999423,0.89444166,0.25521678,0.19407625,0.4715949,0.44012922
0.39094868,0.26913416,0.42796493,0.88536304,0.25340867,0.20015831,0.47238553,0.4389158
