Time (seconds),Tank 1 Water Level (m),Tank 2 Water Level (m),Tank 1 Pressure (Pa),Tank 2 Pressure (Pa),Nitrate Concentration(mg/L),BOD Concentration(mg/L),DO Concentration(mg/L),pH,Temperature (Degree Celcius)
0:00:00,0.2,0,1926.2916,0,10,0,0,7,26
0:00:01,0.198527895,0.001472105,1912.113086,14.17851427,9.925848976,0,0,7.000001321,25.99992619
0:00:02,0.197055791,0.002944209,1897.934571,28.35702854,9.851697953,0,0,7.000001334,25.99985182
0:00:03,0.195583686,0.004416314,1883.756057,42.53554281,9.777546929,0,0,7.000001348,25.99977688
0:00:04,0.194111581,0.005888419,1869.577543,56.71405707,9.703395905,0,0,7.000001362,25.99970138
0:00:05,0.192639477,0.007360523,1855.399029,70.89257134,9.629244882,0,0,7.000001377,25.99962529
0:00:06,0.191167372,0.008832628,1841.220514,85.07108561,9.555093858,0,0,7.000001391,25.99954862
0:00:07,0.189695267,0.010304733,1827.042,99.24959988,9.480942834,0,0,7.000001407,25.99947135
0:00:08,0.188223163,0.011776837,1812.863486,113.4281141,9.406791811,0,0,7.000001422,25.99939348
0:00:09,0.186751058,0.013248942,1798.684972,127.6066284,9.332640787,0,0,7.000001438,25.99931499
0:00:10,0.185278953,0.014721047,1784.506457,141.7851427,9.258489763,0,0,7.000001454,25.99923588
0:00:11,0.183806849,0.016193151,1770.327943,155.963657,9.18433874,0,0,7.00000147,25.99915613
0:00:12,0.182334744,0.017665256,1756.149429,170.1421712,9.110187716,0,0,7.000001487,25.99907574
0:00:13,0.180862639,0.019137361,1741.970915,184.3206855,9.036036692,0,0,7.000001505,25.99899469
0:00:14,0.179390535,0.020609465,1727.7924,198.4991998,8.961885669,0,0,7.000001522,25.99891297
0:00:15,0.17791843,0.02208157,1713.613886,212.677714,8.887734645,0,0,7.000001541,25.99883057
0:00:16,0.176446325,0.023553675,1699.435372,226.8562283,8.813583621,0,0,7.000001559,25.99874749
0:00:17,0.174974221,0.025025779,1685.256857,241.0347426,8.739432598,0,0,7.000001579,25.9986637
0:00:18,0.173502116,0.026497884,1671.078343,255.2132568,8.665281574,0,0,7.000001598,25.99857921
0:00:19,0.172030011,0.027969989,1656.899829,269.3917711,8.59113055,0,0,7.000001618,25.99849398
0:00:20,0.170557907,0.029442093,1642.721315,283.5702854,8.516979527,0,0,7.000001639,25.99840802
0:00:21,0.169085802,0.030914198,1628.5428,297.7487996,8.442828503,0,0,7.00000166,25.99832131
0:00:22,0.167613697,0.032386303,1614.364286,311.9273139,8.368677479,0,0,7.000001682,25.99823383
0:00:23,0.166141593,0.033858407,1600.185772,326.1058282,8.294526456,0,0,7.000001705,25.99814558
0:00:24,0.164669488,0.035330512,1586.007258,340.2843424,8.220375432,0,0,7.000001728,25.99805654
0:00:25,0.163197383,0.036802617,1571.828743,354.4628567,8.146224408,0,0,7.000001752,25.99796669
0:00:26,0.161725279,0.038274721,1557.650229,368.641371,8.072073384,0,0,7.000001776,25.99787602
0:00:27,0.160253174,0.039746826,1543.471715,382.8198853,7.997922361,0,0,7.000001802,25.99778451
0:00:28,0.158781069,0.041218931,1529.2932,396.9983995,7.923771337,0,0,7.000001828,25.99769216
0:00:29,0.157308965,0.042691035,1515.114686,411.1769138,7.849620313,0,0,7.000001855,25.99759893
0:00:30,0.15583686,0.04416314,1500.936172,425.3554281,7.77546929,0,0,7.000001883,25.99750483
0:00:31,0.154364755,0.045635245,1486.757658,439.5339423,7.701318266,0,0,7.000001911,25.99740982
0:00:32,0.152892651,0.047107349,1472.579143,453.7124566,7.627167242,0,0,7.000001941,25.99731389
0:00:33,0.151420546,0.048579454,1458.400629,467.8909709,7.553016219,0,0,7.000001972,25.99721703
0:00:34,0.149948441,0.050051559,1444.222115,482.0694851,7.478865195,0,0,7.000002003,25.99711922
0:00:35,0.148476337,0.051523663,1430.043601,496.2479994,7.404714171,0,0,7.000002036,25.99702043
0:00:36,0.147004232,0.052995768,1415.865086,510.4265137,7.330563148,0,0,7.00000207,25.99692065
0:00:37,0.145532127,0.054467873,1401.686572,524.6050279,7.256412124,0,0,7.000002106,25.99681985
0:00:38,0.144060023,0.055939977,1387.508058,538.7835422,7.1822611,0,0,7.000002143,25.99671803
0:00:39,0.142587918,0.057412082,1373.329544,552.9620565,7.108110077,0,0,7.000002181,25.99661514
0:00:40,0.141115813,0.058884187,1359.151029,567.1405707,7.033959053,0,0,7.00000222,25.99651118
0:00:41,0.139643709,0.060356291,1344.972515,581.319085,6.959808029,0,0,7.000002262,25.99640612
0:00:42,0.138171604,0.061828396,1330.794001,595.4975993,6.885657006,0,0,7.000002305,25.99629994
0:00:43,0.136699499,0.063300501,1316.615486,609.6761135,6.811505982,0,0,7.00000235,25.99619261
0:00:44,0.135227395,0.064772605,1302.436972,623.8546278,6.737354958,0,0,7.000002397,25.9960841
0:00:45,0.13375529,0.06624471,1288.258458,638.0331421,6.663203935,0,0,7.000002446,25.9959744
0:00:46,0.132283185,0.067716815,1274.079944,652.2116564,6.589052911,0,0,7.000002498,25.99586347
0:00:47,0.130811081,0.069188919,1259.901429,666.3901706,6.514901887,0,0,7.000002552,25.99575128
0:00:48,0.129338976,0.070661024,1245.722915,680.5686849,6.440750864,0,0,7.00000261,25.99563782
0:00:49,0.127866871,0.072133129,1231.544401,694.7471992,6.36659984,0,0,7.00000267,25.99552304
0:00:50,0.126394767,0.073605233,1217.365887,708.9257134,6.292448816,0,0,7.000002733,25.99540692
0:00:51,0.124922662,0.075077338,1203.187372,723.1042277,6.218297793,0,0,7.0000028,25.99528942
0:00:52,0.123450557,0.076549443,1189.008858,737.282742,6.144146769,0,0,7.000002872,25.99517052
0:00:53,0.121978453,0.078021547,1174.830344,751.4612562,6.069995745,0,0,7.000002947,25.99505018
0:00:54,0.120506348,0.079493652,1160.651829,765.6397705,5.995844722,0,0,7.000003028,25.99492836
0:00:55,0.119034243,0.080965757,1146.473315,779.8182848,5.921693698,0,0,7.000003115,25.99480502
0:00:56,0.117562139,0.082437861,1132.294801,793.996799,5.847542674,0,0,7.000003208,25.99468014
0:00:57,0.116090034,0.083909966,1118.116287,808.1753133,5.773391651,0,0,7.000003308,25.99455366
0:00:58,0.114617929,0.085382071,1103.937772,822.3538276,5.699240627,0,0,7.000003417,25.99442555
0:00:59,0.113145825,0.086854175,1089.759258,836.5323418,5.625089603,0,0,7.000003535,25.99429576
0:01:00,0.11167372,0.08832628,1075.580744,850.7108561,5.55093858,0,0,7.000003664,25.99416426
0:01:01,0.110201615,0.089798385,1061.40223,864.8893704,5.476787556,0,0,7.000003807,25.99403099
0:01:02,0.108729511,0.091270489,1047.223715,879.0678847,5.402636532,0,0,7.000003965,25.9938959
0:01:03,0.107257406,0.092742594,1033.045201,893.2463989,5.328485509,0,0,7.000004143,25.99375895
0:01:04,0.105785301,0.094214699,1018.866687,907.4249132,5.254334485,0,0,7.000004344,25.99362009
0:01:05,0.104313197,0.095686803,1004.688173,921.6034275,5.180183461,0,0,7.000004575,25.99347925
0:01:06,0.102841092,0.097158908,990.5096583,935.7819417,5.106032438,0,0,7.000004844,25.99333639
0:01:07,0.101368987,0.098631013,976.331144,949.960456,5.031881414,0,0,7.000005163,25.99319143
0:01:08,0.099896883,0.100103117,962.1526297,964.1389703,4.95773039,0,0,7.000005551,25.99304433
0:01:09,0.098424778,0.101575222,947.9741155,978.3174845,4.883579367,0,0,7.000006036,25.99289502
0:01:10,0.096952673,0.103047327,933.7956012,992.4959988,4.809428343,0,0,7.000006666,25.99274343
0:01:11,0.095480569,0.104519431,919.6170869,1006.674513,4.735277319,0,0,7.00000753,25.99258948
0:01:12,0.094008464,0.105991536,905.4385727,1020.853027,4.661126296,0,0,7.000008807,25.99243311
0:01:13,0.092536359,0.107463641,891.2600584,1035.031542,4.586975272,0,0,7.000010924,25.99227423
0:01:14,0.091064255,0.108935745,877.0815441,1049.210056,4.512824248,0,0,7.00001523,25.99211277
0:01:15,0.08959215,0.11040785,862.9030299,1063.38857,4.438673225,0,0,7.000029343,25.99194864
0:01:16,0.088120045,0.111879955,848.7245156,1077.567084,4.364522201,0,0,6.999843366,25.99178174
0:01:17,0.086647941,0.113352059,834.5460013,1091.745599,4.290371177,0,0,6.999983826,25.99161199
0:01:18,0.085175836,0.114824164,820.367487,1105.924113,4.216220153,0,0,6.999993131,25.99143929
0:01:19,0.083703731,0.116296269,806.1889728,1120.102627,4.14206913,0,0,6.999996594,25.99126352
0:01:20,0.082231627,0.117768373,792.0104585,1134.281141,4.067918106,0,0,6.999998454,25.99108458
0:01:21,0.080759522,0.119240478,777.8319442,1148.459656,3.993767082,0,0,6.999999654,25.99090236
0:01:22,0.079287417,0.120712583,763.65343,1162.63817,3.919616059,0,0,7.000000523,25.99071673
0:01:23,0.077815313,0.122184687,749.4749157,1176.816684,3.845465035,0,0,7.000001207,25.99052756
0:01:24,0.076343208,0.123656792,735.2964014,1190.995199,3.771314011,0,0,7.00000178,25.9903347
0:01:25,0.074871103,0.125128897,721.1178872,1205.173713,3.697162988,0,0,7.000002287,25.99013803
0:01:26,0.073398999,0.126601001,706.9393729,1219.352227,3.623011964,0,0,7.000002754,25.98993737
0:01:27,0.071926894,0.128073106,692.7608586,1233.530741,3.54886094,0,0,7.000003201,25.98973258
0:01:28,0.070454789,0.129545211,678.5823444,1247.709256,3.474709917,0,0,7.000003642,25.98952346
0:01:29,0.068982685,0.131017315,664.4038301,1261.88777,3.400558893,0,0,7.000004091,25.98930984
